fifties,sixties,seventies,eighties,nineties,twok,twenty ten
81.5,78,75.5,72.5,76.5,77.5,81.5
65.5,74,67.5,71,69.5,70,60.5
68.5,76.5,64.5,74,73,64.5,62.5
70,70,67.5,74.5,74,71,66.5
72.5,72,74.5,73.5,73.5,73.5,71
77.5,74,72.5,74,74,80,74
71,73,77,68.5,77,82.5,76.5
63.5,71.5,68.5,74,76.5,78,77.5
60.5,74,64.5,75,78,79.5,76
64.5,75.5,65.5,79,79.5,80,78.5
62,76.5,72.5,74.5,80,80.5,78.5
63,75.5,76.5,72.5,67.5,77,81.5
61.5,76,74,57.5,66.5,77,84
58.5,72,72.5,59,65,79,82.5
63.5,66.5,77.5,61.5,70,80,84.5
66.5,67.5,75,71,73.5,76.5,86
70,70,71.5,74,74.5,71,82.5
72,68.5,78,70,76,69,81.5
76,67,80,71,76,68.5,81.5
76,68.5,83,67,78,71,79
76.5,71,82,66.5,75.5,72.5,78.5
78,76.5,80,72.5,77,73,81
76,80,80.5,76,76,80.5,80
73.5,76,79,78.5,78,77.5,84.5
71.5,74,79,78,77.5,79,79
67.5,69,80,75.5,75,81.5,79.5
68,72.5,80.5,78.5,77.5,84,78.5
70.5,78.5,79,76,76.5,84.5,71.5
71,79.5,80,72,78.5,81,70
75.5,80.5,80,73,76.5,83,76.5
79.5,76,79.5,73,77,83.5,77
56,59,73,74,68.5,76.5,78.5
54,62.5,66,66.5,66.5,67,74.5
58.5,66,64,67,69.5,70,76
61,71,70.5,71.5,63,70,76.5
67,74,69.5,74,65.5,67,76.5
68.5,74,66.5,74.5,74.5,69.5,75.5
69.5,73,71,75,67.5,71,72
72,74.5,74,79.5,65.5,71,67.5
73.5,79,75,78.5,69.5,75,70
73,64.5,74,78,67.5,73.5,77
77.5,65,76,79,69.5,68.5,80.5
80,69,77.5,74.5,72.5,69.5,84.5
80,75.5,79.5,69.5,74.5,68,80
77.5,73,79.5,72.5,77.5,71.5,81.5
77,72.5,81,76,78.5,74.5,80
78.5,71,71.5,79,79.5,75.5,81.5
79.5,68,71,70.5,80,77.5,75.5
80,67,76.5,68.5,79.5,75,79
78,69.5,74,73,79,75.5,79.5
78,71,68,78.5,78,78.5,83
81,73.5,66.5,81.5,79,83,84
79.5,76.5,66.5,82,83,81.5,80
78.5,78.5,71.5,82.5,83.5,76.5,84
80,78.5,75.5,77,84,76,80.5
78.5,80,71,70,72,77.5,81
79,80.5,73.5,72.5,72.5,76.5,83.5
78,80.5,76.5,82.5,74,73.5,81.5
74,83,77,80,78,75.5,79.5
71,79,78,81.5,80.5,74,70.5
78.5,82.5,71,82.5,84,72,73
73,61,74.5,74.5,65.5,79.5,72.5
65,57,70.5,76,68,78.5,74
69.5,63.5,68.5,74.5,67,77.5,76
74.5,68,71,70,61,73,75.5
75,71.5,76.5,68,61,72,76
75,74.5,74.5,72,63.5,71.5,72.5
75,74,61.5,74,62.5,80,66.5
75,75,63.5,79,63.5,79,66
71,76,63.5,79,66.5,73.5,70.5
73,75.5,63,68,69,71.5,74.5
