fifties,sixties,seventies,eighties,nineties,twok,twenty ten
81.5,77,78,74,80.5,82.5,84
80.5,80.5,78,73.5,83,82.5,83
83.5,78,76,77.5,72.5,75,83
73,80,75,79.5,73.5,71,79
67.5,76,75.5,73.5,75.5,72,76
85,70,81.5,72.5,85.5,84,80
85.5,67.5,81.5,71,83,84,78
86.5,65,76,74,85.5,84,82.5
84.5,71,77,77.5,84.5,85,79.5
85,80,76.5,70,77,84,80
84.5,79,72,77.5,78,82,73.5
81.5,77.5,70.5,76,81,82.5,74.5
78,73.5,72.5,78,78,81.5,77.5
80.5,74.5,78.5,80.5,77.5,82.5,78.5
84.5,72.5,78.5,79.5,79.5,83.5,80.5
79,68.5,79.5,80.5,83.5,85.5,79
75,72,81.5,82,86,86,74
75.5,75.5,79.5,84,85,84.5,75.5
73.5,81,80.5,83,84.5,81,76.5
76,81.5,82,77,86,79,77
77.5,81,79.5,74.5,86.5,77,80.5
81.5,82.5,79,77,86.5,79,77
82.5,82,80,78.5,86.5,79,78
83.5,80,79,73,84,82.5,80.5
83,74,80,67.5,83,86,72
85.5,74,81.5,69.5,83.5,82.5,71.5
82,80.5,82.5,70,78.5,80,74
79.5,75,82.5,73,74.5,74.5,79.5
76,73.5,83.5,72,77.5,76,70
75,80.5,83.5,70,80.5,79,68
76.5,75.5,81.5,68.5,80,79,69.5
78.5,83.5,81,70.5,81.5,80,72
80.5,67.5,81,71.5,81.5,80,73
80.5,62.5,81.5,74.5,82,73.5,78.5
75,74.5,78,75,85,71.5,78.5
69.5,76.5,74.5,71,85,75,78.5
78.5,75,73,78.5,72,86,80.5
77,75,71.5,75,74,86,81.5
78,72.5,70.5,73.5,74.5,86,82
80.5,72,70.5,72.5,77.5,81,82.5
85.5,73,76,75,81,79,82.5
79,76,76.5,75.5,83,83.5,81.5
75.5,78.5,70.5,78.5,84,86.5,79
75.5,80,67,76,81.5,79,79
77.5,81.5,70,76,73,78.5,83.5
76.5,81,71.5,74,73,83.5,84
79,73,76,74.5,73,76,85.5
81,71.5,79,71,74,76.5,85
80.5,74,79.5,73,75.5,76.5,81
76.5,78.5,79.5,77.5,77,80,81
75.5,80.5,75.5,81.5,75.5,77,82
72.5,80.5,72.5,76,79,75,80
79.5,75.5,70,78.5,76,79.5,78
79,76.5,70,79.5,0,83.5,79.5
73.5,79,74,77.5,81,81.5,81
63,82,74.5,75.5,82,76.5,78.5
63.5,80.5,74.5,78.5,81.5,73.5,75
63.5,76,74.5,80,80,76,73
69,70.5,78.5,81,82.5,75.5,74.5
69.5,65.5,78.5,70,73.5,76.5,81.5
66.5,68.5,79,72,72.5,79,85.5
67.5,69.5,79.5,79,73,81,83.5
76.5,72.5,79,70,75,83.5,83.5
73,75,80.5,60,75.5,80,85.5
77.5,76,72.5,59,77.5,77.5,82.5
80.5,77,65.5,64,77.5,72.5,83.5
78.5,76,69.5,69.5,0,73,82
80.5,79,74,83.5,75.5,82,80.5
81,79.5,72,83.5,77,84,78
81.5,81,77,83,82.5,85.5,78.5
76,76,80,81.5,83.5,86,72.5
67,73.5,81.5,79,75.5,86,70
68.5,71,83,80.5,70.5,89.5,70
70.5,75.5,83,80.5,70.5,91,73
72.5,79.5,82,81.5,74.5,91.5,75
76.5,76.5,80,83,68,92,74
77,69.5,82.5,74,72.5,88,78
81.5,66,79.5,76,79,84.5,78
76.5,66,75,79,79.5,85.5,79
79,66.5,77.5,81,77.5,87.5,75
77.5,69,79,82.5,77,81.5,78.5
81.5,70.5,80.5,80.5,82.5,89,83
79,74,82,82,85.5,88.5,83.5
72,76,73.5,80,82.5,82,85
72.5,76.5,70.5,77,77,78.5,81
73.5,73.5,69.5,78,72.5,83,80.5
71,66.5,70,77,70,86.5,82
70,67,73.5,79.5,69.5,81,83
73,67.5,73.5,85,66.5,87,81.5
73.5,73.5,73.5,72.5,65.5,88.5,74.5
68.5,74,72.5,69.5,67.5,88,72
72.5,75.5,71.5,73.5,70,82.5,70.5
71,74.5,78,80.5,77,80,70.5
73.5,67.5,81.5,80.5,79.5,80.5,74
81,67.5,81.5,69,82,85.5,75
79,69.5,80.5,70,75,84,75
81.5,72.5,81.5,70,73,80.5,75
