fifties,sixties,seventies,eighties,nineties,twok,twenty ten
42,34.5,50,30.5,45.5,30.5,30
32.5,21,49.5,29,41.5,22,9
40.5,29.5,39.5,32.5,31,30,16
38,38,42.5,35,35.5,10.5,25.5
35,45,47.5,26.5,25,11,38.5
45.5,52,38.5,51,37.5,55,32
44.5,48.5,31,32.5,24.5,56,37
47,35.5,40,33,28,59.5,50.5
58,33.5,35,30,17.5,55.5,43
60.5,40,36,30,16,53,21.5
47.5,45,39,33,30.5,37,28.5
34,50.5,42.5,35,31,35,13
40,63,50,32.5,31.5,38,14.5
39.5,47.5,46.5,24.5,35,45,20
34,28,57,29.5,42,47,18
32,28,45,27,53.5,56.5,32
33.5,38.5,28,20.5,64,66,34.5
25.5,34.5,19,25,63,52.5,28
27,21.5,23.5,26,56,32.5,30
34,36,34,18,44,31,34
33.5,18.5,33,24,37,23,37.5
33,12,29,28,43,17,43.5
30.5,19.5,43,30,48,17.5,44
28,21.5,37,14.5,48.5,32,44
29.5,30,27.5,-7.5,32.5,36.5,46
33,32,33,1,26.5,29,44.5
33,50,36.5,17,29.5,26.5,36
26.5,57,33.5,25,25,18,36
28.5,47.5,39.5,30,27,28,36
29,47,44.5,23,31.5,41.5,40.5
35.5,45.5,38,14,30,42,31.5
15.5,27.5,38,25.5,32,26.5,31
19,28,51,27.5,34,28,30.5
11,11.5,55,28.5,25.5,34,44.5
22.5,9,37,33.5,28,35,34.5
31,6,40,26.5,32.5,37,32
37.5,52.5,34.5,30.5,45.5,45.5,36.5
46.5,53,40.5,38,34.5,60.5,38.5
41.5,37,30,39.5,22,46.5,39
34,35.5,18,40,26.5,51.5,34.5
41,42,18.5,28,27.5,38,31
48,39.5,30,32,21,34,34
29.5,28.5,34,23,18,38.5,39
26.5,19.5,14.5,21.5,15,50.5,50
26.5,33,11.5,28,28,50,51.5
32.5,38,28,37.5,30.5,42.5,32
36,28.5,37.5,36,31,44.5,23.5
30.5,33.5,32,44.5,28,47,28
33.5,38,44,30.5,36,46,22.5
31.5,34.5,33,31,42.5,36,45.5
33.5,32.5,32.5,32.5,33.5,34.5,43.5
22.5,25.5,31,46,45,46,33.5
26.5,24.5,21,54,59,42.5,23.5
32,23,20,50,47,32.5,13.5
33,19.5,29,39,17.5,48.5,18
32,22,28,34.5,22,59.5,23.5
33,32.5,29,49,34,48.5,24.5
29,29,30.5,46,39,38,26.5
22.5,19,42,35.5,44.5,41,25.5
24,10,47,35.5,36.5,42.5,25.5
27,20,45.5,41.5,29.5,35.5,40.5
24.5,19.5,43.5,24.5,42.5,34,42.5
31.5,20,27.5,7.5,37,42,34
40,11,32,15,28.5,54.5,39.5
44.5,4.5,34.5,33,41.5,53.5,39
29,-1,34.5,25.5,25.5,44,50.5
28,13,35,38,17,39.5,61.5
25,36,16,33,49.5,43.5,42
20.5,32.5,19.5,32,57.5,40,52
30,34.5,27.5,29.5,64,42.5,50.5
38,26.5,32,34,62,51,33
33,28.5,33,36.5,47.5,62,22.5
28.5,38,31,44,30.5,48,16
36,41,21,46.5,28,41,14.5
32.5,27,20.5,36.5,26.5,38.5,18
50,24,27,37,31,36.5,30.5
34.5,28.5,13,38.5,16.5,33,49
30,23,2.5,33.5,6,41,51
39,34.5,10,38.5,10,56.5,55
29,40,17,41.5,9.5,56.5,38
20.5,43.5,33.5,46,16.5,56.5,40
23.5,26,24.5,46.5,33.5,49.5,40
13,23,3.5,36.5,21,30.5,49
15.5,25.5,-3,36,12.5,30,55
21.5,13,0.5,38.5,14,38,42.5
34.5,24,12,36,24.5,36,47.5
39.5,33,21,31,39.5,33,57
54.5,44.5,17.5,27,44.5,37,59
49,53.5,16,29,50.5,36,55.5
31.5,62.5,19,15.5,37,33.5,50
29.5,62,30.5,15.5,40,36,45
37,56.5,29.5,20.5,28,30,50
30,56.5,32,18.5,26.5,34.5,38.5
29.5,38.5,17,15.5,42.5,42,35
37.5,29,19,29.5,26.5,23,36.5
36,34,5.5,42,25.5,23.5,34
28.5,40,14,39.5,32.5,23.5,33.5
34,47,12,40,47,20.5,49
22.5,7.5,32.5,28,29.5,27,10.5
23.5,25.5,17.5,24,49,15.5,11
23,31,26,27,57,22,19
23.5,19,31.5,23.5,58,34,15.5
28,19,39,11.5,56,45.5,15
37.5,26.5,42,9.5,62,57,13.5
24.5,12,48.5,16.5,59,67,27.5
21,9.5,32.5,18.5,51,61,38
27,25.5,7.5,16.5,40,46.5,40.5
43.5,24,7.5,18.5,38,48.5,52.5
36.5,25,12.5,25,36,44,60.5
37,28,20,39,49,39.5,42
42,31,26,31,39.5,37.5,19.5
40,24.5,25,20,35.5,30.5,16
35.5,31,17,32,39.5,26.5,25
32.5,24.5,20.5,42,35.5,31,11.5
34,25,26.5,43.5,33.5,37,14
29.5,34.5,23,43,37.5,31.5,22.5
29.5,38.5,24,48,32,22,33
40,34,24.5,48.5,31,14.5,47
42,40,18.5,35.5,40.5,26,54
31,39.5,18.5,31,47,30,55.5
34,37,19.5,36.5,40.5,26,42.5
33.5,22.5,29.5,36,34,20.5,33.5
32,23.5,35.5,23.5,35.5,21,38
38,35.5,15.5,17,39.5,33,48
33.5,43,15.5,19.5,46,39,54
30,50,12.5,35.5,44,42,45.5
30.5,52,11.5,45.5,44,44,35
36,49,10.5,56.5,36.5,25,31.5
37.5,51.5,20,57,37,31.5,43
42,18,40.5,37,19.5,30.5,48
37.5,23,16.5,33.5,32.5,41,42.5
36.5,22,12.5,39,19,43.5,41
12.5,11,23,32.5,12.5,48,42
6.5,19,22,37,14,31.5,46.5
20,32.5,23,47,30.5,37,47.5
36.5,22,25.5,52,25.5,36,56.5
