fifties,sixties,seventies,eighties,nineties,twok,twenty ten
78.5,80.5,80,79,75,67.5,80.5
79,82,78.5,70,73,71.5,80.5
81,81.5,78.5,70,71.5,71.5,71
83.5,81,76.5,71.5,72,75,66.5
85,74.5,71.5,71,73.5,79,72.5
86.5,76,71,76,76.5,78.5,75
79.5,71.5,80,70,73.5,79.5,74
81,72.5,80.5,73,69,75.5,76
83,77,80.5,74.5,72,78.5,76
81.5,77,81.5,75.5,79.5,81,77
80.5,78,77.5,75.5,79.5,78.5,76.5
79,77.5,76.5,73,75.5,79.5,77.5
79.5,76.5,78.5,74.5,76,80,76.5
79.5,76.5,80.5,80.5,73,80.5,76
82.5,78,80.5,84,74.5,80,79
80.5,78.5,76,81,81,80.5,76.5
80.5,74.5,68.5,72.5,80.5,77.5,77
79,72,68,76.5,82.5,71.5,81.5
81.5,77,65.5,82.5,85,71,82
81,79,68,85.5,87,75.5,82
79,75.5,71.5,85,83.5,79,76
80,75.5,75.5,76.5,83.5,79,78
79.5,75.5,78,72.5,85,79.5,81.5
80,75,77.5,73.5,78.5,81.5,82.5
80.5,77,78.5,78.5,78.5,83,85.5
81,74,80,80,77.5,82.5,81
83.5,75,81.5,79.5,81.5,86,81.5
82.5,78.5,79,75,81,78.5,76.5
81,86,81,75.5,80.5,83,79
80,86,83.5,77,80,84.5,78.5
80,81,79,79.5,79.5,86,79
84,79.5,75.5,74.5,81.5,88,82
85.5,76.5,76.5,73,80.5,78.5,83
84,76.5,79.5,74,80.5,74.5,87
81,71,83,78,83,75,86
84.5,67.5,84,81.5,83.5,78,80.5
84,69,82,81,85,79.5,79.5
82.5,83.5,70,75.5,84,79.5,78.5
84,83,71,74,81,83.5,71
83,82,67,70.5,71.5,84,73.5
81.5,82,71,71.5,69.5,81.5,74.5
80.5,80,72.5,76.5,72,73.5,82
75.5,82,73.5,81,74.5,69.5,81.5
78.5,79,73,83.5,80.5,71.5,78.5
81,75.5,79.5,84,77.5,72.5,81
75.5,81,78,84,73,74.5,77.5
70.5,83,80,78,70,78,78
71,80.5,84.5,79,72,79,80
72,85.5,80.5,79.5,77,78,78.5
73,91.5,73.5,79.5,79,81.5,84
78,89,80,78,76.5,83.5,81
78,79.5,82,80,75.5,82,81.5
73.5,76.5,76.5,84.5,77,83.5,80
76.5,80.5,70,85,78,83,81
72.5,83,69.5,85.5,83,85,79.5
76,85.5,72.5,84,82,85,84.5
77,77,76,85,76.5,82.5,85
75.5,72,81.5,80,76.5,78.5,84
75,73,83,78.5,72.5,75,84
73.5,80.5,84.5,81.5,73.5,74,84.5
73,82,85.5,80,77,75.5,86.5
77,80.5,78.5,84,76,76.5,85
80,81.5,76,85.5,72,79,84.5
87,83,76,83.5,74,82.5,84
82.5,85.5,78,82.5,75,78,81.5
74,82.5,78.5,83,0,80,80.5
73.5,76.5,79,78.5,74,82.5,80
72.5,75.5,79,73,74,84.5,80.5
74,76.5,75,76,80,77,79
76.5,76.5,73,75.5,83,73,81
75.5,68,73.5,78,78.5,75.5,78.5
79,66,79,80,70,81,78
74,66.5,84,75.5,67.5,79,77.5
74,65.5,83,79,69,79.5,76
79,74,85,78.5,74,80.5,79.5
81,75,84.5,79.5,77,80.5,77.5
78.5,75.5,78.5,78.5,77.5,80.5,77.5
72,80.5,77,80,72,79.5,82
72.5,80,77,80.5,72.5,76,82
77,81.5,82.5,80.5,77,72,82.5
76,73.5,85,78.5,78.5,75.5,86.5
81.5,67,85,73,80.5,77,83
82,65.5,87,70.5,78.5,82,78
79.5,68.5,86,72.5,80.5,78.5,78
80,72.5,84,77,81.5,82,80.5
81,72,86,80,81.5,81.5,83
82.5,73.5,85.5,80.5,83.5,82,83.5
82.5,73.5,84,82,82.5,72,85
82.5,75.5,84.5,82,84,71,88.5
81.5,79,80,82,79,71,89
77,76.5,77,82.5,82.5,73.5,80.5
70.5,82.5,80.5,82.5,80.5,73.5,83.5
72.5,82,77.5,83,81.5,75,79
75,79,72.5,83.5,84.5,79,80.5
74.5,78.5,70.5,81,88,79.5,83.5
78,75,74.5,78,84.5,76,80
76,75.5,76.5,80,81,80,74
78.5,75,79.5,76.5,75.5,81,74.5
79,78,79.5,80,74.5,81,79
78,83.5,85,69,77.5,73,86
79,74,80.5,71.5,78.5,77,84.5
80.5,67.5,82,76,77.5,76.5,83
81.5,65,75.5,81,80.5,76,86.5
81.5,68.5,74,84.5,77.5,77.5,89
76,73,78,85,77.5,78,81.5
76.5,75.5,83,85.5,77,73.5,75
70,76,82.5,88.5,80,83,79.5
75.5,75.5,79,89,82,78.5,83
81,77,78,88.5,81,78.5,85
72.5,79,72.5,77,77,79.5,84.5
76.5,79.5,71,74,75,84,79
74.5,80,77.5,78,78,79,80.5
79,79.5,80.5,84,74,76.5,83.5
80.5,81.5,70.5,88.5,73.5,79,78.5
78,79.5,74,87.5,78.5,81,81
78.5,80,75,86,80,83,82.5
79,83,76,80,79,83,78
81,80.5,79,80,86.5,84.5,78
75,81.5,83.5,78.5,78,85.5,80
77.5,82.5,85,76,84.5,83.5,75
75,82,84,76.5,84,80,75
77,81,84.5,76.5,80,77,73.5
77.5,81,75.5,76.5,77,75.5,77.5
