fifties,sixties,seventies,eighties,nineties,twok,twenty ten
55,56.5,53,69,45.5,66.5,69
48,58.5,60.5,71,51.5,63,65.5
44.5,58.5,66,64,55,72.5,55
34.5,49,66,65,55.5,71,48.5
35,52,67.5,66.5,59,60,44
63.5,60,57,49.5,69.5,66,63
66.5,54,51,49.5,68.5,75,54.5
66.5,59,50.5,55.5,66,76,52
70.5,49,55,61.5,62,76,67.5
73,47.5,60.5,51,66.5,74.5,71.5
77,56,64,51.5,68,73.5,72.5
63.5,62.5,64,55.5,59,57,72
55.5,59,66,64,57,57.5,74
57,54,69,65,60.5,54.5,67.5
60,50,66,70,64,58,60.5
63,57.5,66.5,74,67,66,60.5
62,50,62.5,74,67.5,67,68
55.5,50,71,74,65.5,66.5,63
53,62,73.5,71.5,58,66.5,61.5
49.5,68.5,73,62.5,53.5,65.5,60.5
50,70,59,60,53,56.5,57.5
48.5,70,51.5,63,56,59,50.5
50.5,69.5,45.5,71.5,63,67.5,49
50.5,66.5,46.5,70,64.5,69,53
54.5,66,53,64,55.5,70,61.5
61.5,58.5,64,58.5,44.5,58.5,62.5
56.5,55.5,66.5,57,56,55.5,68.5
66,53,63,62.5,62,46.5,67.5
51.5,41.5,67.5,69,55.5,44,65.5
47,44,58.5,57.5,48.5,49,60.5
61.5,54.5,52,57,55.5,47,57.5
61,49.5,51.5,62.5,58,49.5,57.5
62,45.5,62,59,50.5,46.5,62.5
52.5,42,52,51,50.5,46,53.5
46.5,46,46.5,51.5,51,50.5,49.5
50.5,55.5,50.5,59.5,60,59,54
66.5,52.5,62.5,76.5,66,64,63.5
70.5,51.5,64,72,70,68,69.5
63.5,59,66,79,55,73,68.5
66.5,66,66.5,77.5,54.5,76.5,71.5
61.5,54.5,70,63,58,65,74.5
66,49.5,61.5,55.5,62,55.5,75.5
53.5,52.5,51,54,62,57,73.5
55.5,58.5,53,58,60.5,63,63
56,68.5,52.5,62,55,68.5,60.5
52.5,60.5,51,60,56,67.5,63
55.5,57,54,61.5,52,60,67
59,61,60.5,64.5,57.5,43,68
61.5,65.5,66.5,56.5,63,46.5,61.5
62,69,54,48,67.5,48.5,58.5
64,62.5,62,47,67,47,71.5
65,50,52,49.5,65.5,52,74
65,50.5,46.5,55,67.5,63,77.5
65,50,43,53.5,52.5,64.5,79.5
63,49,51,53,47,54,79.5
68.5,50,45.5,52.5,50,47,63.5
66,51,45,57.5,54,49.5,53.5
61,57.5,41,62,65.5,47.5,52.5
64,52.5,43.5,63,50.5,40.5,60.5
60.5,50.5,57.5,61,55,42.5,60.5
62,49.5,53.5,60.5,53.5,42,56
52,46,44.5,57.5,59,47.5,62.5
48,49.5,38.5,53,68,52.5,60
55.5,52,36,56.5,62.5,50,59
60,50,39.5,59.5,63,53.5,69
61.5,44.5,47,55,62,60.5,72
62,51.5,46,59.5,44.5,57,64
65,63,70,56,60.5,74,65.5
65,68.5,57,58,58,74,68
64,69,55,51.5,67.5,73.5,72
60.5,70,55,50.5,74,76.5,73
57.5,71,60,56,74,80.5,71.5
57,62.5,59.5,57,73,80.5,73
60,64.5,54,46.5,73.5,81,74
58.5,63,61,46.5,74.5,81,67.5
59.5,48,49,54.5,75.5,75,74
54.5,46.5,51.5,55.5,71.5,59,71.5
51,44.5,48,48,69.5,57,67
50,47.5,45,46.5,73,58.5,63
54.5,55,50.5,48,65,58.5,64.5
57.5,63.5,49,51.5,55.5,68,70.5
63,69,54.5,54.5,51,70,67.5
63.5,68,47,57,53,70,57
57,63.5,47.5,57,51.5,74.5,55
52.5,54.5,56,54,52,74.5,58
46.5,50.5,52,59,53.5,64,61.5
46.5,52,51,50,56,63.5,64
50,51.5,56,41.5,52.5,67.5,65.5
61.5,53,60.5,42.5,43,64,67.5
63,59,60,59.5,43.5,61.5,60
52,64,60.5,58.5,48,53,53.5
42.5,45,59,48.5,52.5,54.5,48.5
40.5,46.5,61.5,54.5,53.5,60,53
40.5,48.5,58.5,51.5,41.5,56,53
43.5,41.5,58.5,46.5,41.5,52,39.5
45.5,51.5,55.5,44.5,50,50.5,36
53,60.5,55.5,59,53.5,52.5,44.5
55,59,60.5,65.5,60.5,58,43.5
52,69,61.5,71,66.5,58,75
51.5,73.5,61,66,62,55.5,80
56.5,60,59.5,59,64.5,59,79
58.5,49.5,62,54.5,64.5,63.5,79
61,49,60.5,50.5,76,67.5,81
60,52.5,53.5,51,80.5,71,81
65,51.5,50.5,53.5,66.5,70.5,80
72,57.5,49,51,60,64,80.5
72,61.5,53,53.5,59,63,80
57,56,59,55,61,67,77
51.5,58.5,63,54,63.5,73,61.5
52,68,70.5,45.5,65,72.5,51
60.5,69,62.5,44,62.5,71.5,46.5
67,72,47.5,52.5,56.5,74,54
68.5,71.5,45,62.5,61.5,73,53.5
69,69.5,47.5,55.5,69,63.5,48.5
69,73.5,47.5,68,71,55.5,54
60.5,58.5,52.5,59.5,67.5,56,50.5
54,55,58,50,58,52.5,51.5
56.5,56,56,49,56.5,54.5,53.5
62.5,54,59.5,49,50,56.5,44.5
65,57.5,64,47,47.5,51,51.5
62,50,55.5,47,49.5,57.5,57
57,51,48,47.5,53,55.5,49.5
50,44.5,54.5,50.5,59.5,53.5,50.5
48.5,44,53.5,44,59.5,56,51.5
47.5,52.5,48,48.5,62,43.5,51.5
51,45.5,51.5,49.5,65,41.5,56
51,43.5,51.5,43,66,46.5,53.5
48.5,45,55,43.5,71.5,49,58
50.5,59.5,59,44.5,64.5,55.5,65
67.5,68.5,70,70.5,62,58.5,84.5
71.5,67,59,67,65,63.5,84
76,69.5,65.5,59.5,67,59.5,82.5
79,69.5,59,51.5,56,56,69
81,66.5,53,57.5,57,59,69.5
69.5,67,59,57,59,59.5,68.5
69.5,61.5,56,53.5,63.5,56.5,61
69,60.5,61,50,69.5,55.5,62.5
57.5,61,59,51,66,61,58.5
64.5,68.5,49.5,58.5,65,54,70
61,71,56.5,58,61,52,61
52.5,76.5,57.5,69,63,56.5,49
51,68,46.5,72,66,57.5,54.5
46.5,46.5,46,70,54,48.5,60
50.5,50,54,67.5,62,48.5,61.5
57,54.5,61.5,68,68,45,55.5
56.5,45.5,65.5,58.5,58,46,52
48,46,66,41,49.5,44.5,53
53.5,60,68.5,36,47,49.5,59.5
59.5,69,74.5,38.5,51,56.5,68
61,55.5,76.5,53,51,56,67
63,48,68,52.5,57,59.5,59
62,40,48.5,61,47.5,65.5,55
50,43.5,40.5,63.5,45.5,51,59.5
43,54,47,62.5,48,51,56.5
46.5,51.5,43,63,55.5,54.5,61
45.5,46.5,56,63.5,57.5,51,60
44,40,55,61,60.5,57,58
51.5,45.5,54,61.5,65,57.5,57
61.5,51,60.5,60,64,67.5,58
61.5,51.5,66.5,52,65,48,47
