fifties,sixties,seventies,eighties,nineties,twok,twenty ten
69,66,73,74,78,76,80.5
67.5,66.5,77,78,72,76.5,82
71,72,80.5,79,72.5,73.5,82.5
77,77,83,80,75,72.5,83.5
75.5,77,78.5,77,77.5,72,84
76.5,75.5,67.5,81,77,75,82
73.5,76.5,68,82,73,76.5,82.5
76.5,77,71,81.5,75,74,82
80,80.5,72,82.5,67.5,78.5,77.5
79,78.5,75.5,78,71,79,78.5
66,72,73,69.5,69.5,78.5,74
61,70,63,64.5,78.5,77,64
66.5,71,55.5,59.5,79.5,76.5,61.5
77,71.5,58.5,60.5,79,77.5,64.5
77.5,70.5,65.5,62.5,70.5,77,69
78.5,70,66.5,63,67.5,76,71
79,77.5,65,67.5,69.5,69,71.5
76.5,78,65.5,71,61.5,70,75.5
77.5,76.5,68.5,70,67,75.5,72.5
77.5,76,66,70,68,74,67
81,78.5,59,71,66,75.5,67.5
79.5,76.5,58,73.5,54,77.5,69.5
72.5,68,55.5,66.5,51,81.5,71.5
65.5,53.5,56.5,57,55,79,73.5
64.5,50,60.5,61,56,73,70.5
70,54.5,57,58.5,64,72.5,70.5
73.5,57.5,59,55.5,64.5,69.5,72.5
71.5,62.5,58.5,57.5,66,71.5,75.5
72.5,65.5,63,62,67,61,71
68.5,70,66,62,68.5,60,64
70,77,65.5,68.5,0,68.5,74.5
68.5,78,69.5,74.5,0,64,73.5
68,78.5,70,73.5,74.5,69.5,72.5
75,77,72.5,79.5,76,65.5,74.5
74.5,70.5,69,71,79,68.5,80
65.5,71,65.5,69.5,79,70.5,81.5
60,67.5,67.5,62.5,76.5,70.5,83
59.5,66.5,75,61.5,77,72.5,84
62,67.5,67,64.5,76.5,74.5,82.5
64.5,73,62.5,74,76,75.5,79
70,72.5,63,76,75,70.5,71.5
75,75,66.5,68,66.5,69.5,73
78,65.5,69.5,67,61,66,75
77,71.5,70.5,69,60.5,68.5,78.5
73.5,61,70.5,72,60,71,79
73,57.5,70,67,69,71,80.5
67,64,67.5,67.5,65.5,73.5,75.5
59,65,69,71,63.5,66.5,80
59,66.5,68.5,71.5,64.5,61.5,77
52.5,67,70.5,76.5,65.5,54,76.5
58.5,65,63.5,76.5,62,57.5,78.5
75,67.5,57,77.5,66,65,78.5
64.5,63,64,75.5,67,68.5,80
61,60.5,65.5,78,64.5,66,80.5
61,62.5,66.5,81,62.5,63.5,81
62,59,72,81,69.5,63.5,67
60,65.5,66.5,78,67.5,67.5,65
60.5,65,62.5,80,59,57.5,62.5
66,66.5,56,81,59.5,56,59.5
66.5,56,60.5,80,63,61,60
82,63,84,65,81.5,75.5,64.5
81.5,63,83,67.5,81,79.5,60.5
80,65.5,80,74,67.5,84,69
73,69,79,76,63,82,79
67.5,68,80.5,77.5,65,84,67
67.5,71.5,80,78,70,84,63
68.5,69.5,77.5,77.5,74,85,61.5
67,65,76.5,74.5,76.5,83.5,66
69.5,70.5,76,73.5,72.5,78.5,68
71.5,66.5,69.5,75.5,71.5,78,65
73.5,63,65,74,68,72.5,63
77.5,68,67.5,76.5,65.5,70.5,68
71,72,76.5,75.5,68,70.5,63.5
74.5,69.5,67.5,76,72,76,69.5
71,68,74,77,74,62,72.5
69,71,73.5,77.5,78,65,76
67.5,71.5,75.5,75.5,74.5,69,77
71,73.5,76.5,73.5,73,75,77
74,76,69,67.5,75,75.5,72.5
77.5,76,65,65.5,74,77.5,78
77.5,70,66.5,63,64,77,81.5
66,62.5,68.5,61,63,81.5,81.5
64.5,57,72,62.5,63,83,79
62,61.5,70.5,64.5,63,83,79.5
64.5,59,70.5,66.5,66.5,84.5,78.5
67,65,70.5,67.5,68,74,80
59.5,62.5,70.5,71,68.5,71,79.5
56.5,50.5,63,73,70.5,70.5,68
59,47,62.5,65,68.5,68.5,68.5
65,55.5,63,64,69.5,70,63.5
67,72,70.5,72.5,73.5,82,80.5
72,71,70.5,74.5,75.5,84.5,82.5
80,74,72.5,72,73.5,83,83.5
81,73,73,69.5,77.5,80,85
80.5,72,71,63.5,84,72,83
81,68.5,74.5,60,84,74,80
73.5,68.5,77.5,59.5,82.5,72.5,81
67.5,70,78.5,67,68.5,75.5,71
68,72,78,68.5,65.5,68.5,64.5
67,63,77.5,72,66.5,70.5,63.5
62,64.5,77,76.5,71,73,65
63,62,75,76.5,74,81.5,71.5
66.5,64,78.5,79.5,77.5,84.5,77
72,67,76.5,72,81,75,80.5
76,71.5,76,70,80.5,65.5,81.5
77,70.5,78,71,79.5,68,78.5
67.5,73,81,75.5,77,68.5,78.5
64,64.5,84,71,80,72.5,82.5
63.5,65,82.5,74.5,79,72.5,83
62,72.5,81.5,71,80.5,75,84
67.5,74.5,81,67.5,77.5,76,82.5
69.5,76,64.5,68,74,74.5,68
73,76,63,76,65,75.5,64.5
77,74.5,70,63,68,75,69.5
80.5,64,67.5,65.5,77.5,71,77
81,62.5,65,66,80.5,70.5,69
66,65,70,66.5,80.5,68,59.5
59.5,63.5,64,71,78.5,69.5,62.5
61.5,65.5,64,69,76.5,70.5,66.5
59.5,68,66.5,73.5,77,65.5,70
